date,amount
2016-09-20,0.55
2017-05-22,0.22
2017-09-25,0.06
2018-05-14,0.06
2018-09-26,0.06
2019-05-15,0.06
2019-09-26,0.06
2020-05-28,0.29
2020-06-15,0.81
2020-08-18,0.47
2020-11-19,0.09
2021-02-24,0.03
2021-05-20,0.03
2021-08-30,0.03
2021-11-22,0.03
2022-06-01,0.06
2022-08-30,0.03
2022-11-21,0.03
2023-02-21,0.03
2023-06-01,1.1
2023-06-08,0.7
2023-09-06,0.8
2023-12-12,0.57
2024-05-22,4.57
2024-07-09,1.15
2026-04-14,0.16
2026-06-02,0.64
