date,amount
2016-08-11,0.48
2016-11-09,0.24
2017-03-02,0.24
2017-05-24,0.24
2017-08-10,0.24
2017-11-17,0.24
2018-03-02,0.24
2023-05-19,1.25
2023-08-11,0.25
2023-11-13,0.25
2024-03-01,0.25
2024-05-20,2.25
2024-08-12,0.25
2024-11-12,0.25
2025-03-03,0.25
2025-05-19,1.25
2025-08-11,0.25
2026-03-02,0.25
2026-05-26,1.25
