date,amount
2016-06-13,0.05
2016-09-12,0.05
2016-12-12,0.05
2017-03-13,0.05
2017-06-14,0.05
2017-09-13,0.05
2017-12-13,0.05
2018-03-13,0.05
2018-06-13,0.05
2018-09-05,0.125
2018-12-13,0.15
2019-03-13,0.15
2019-06-12,0.15
2023-06-09,0.25
2023-08-18,0.25
2023-11-30,0.25
2024-03-11,0.25
2024-06-10,0.25
2024-08-26,0.25
2024-11-25,0.25
2025-03-11,0.25
2025-06-03,0.25
2025-08-26,0.25
2025-11-17,0.25
2026-03-09,0.25
2026-06-01,0.25
