date,close,adjclose
2016-06-13,8.279999732971191,3.604578971862793
2016-06-14,7.880000114440918,3.4304442405700684
2016-06-15,7.820000171661377,3.4043242931365967
2016-06-16,7.639999866485596,3.3259639739990234
2016-06-17,7.150000095367432,3.11264967918396
2016-06-20,7.25,3.1561830043792725
2016-06-21,7.03000020980835,3.0604097843170166
2016-06-22,7.059999942779541,3.073469400405884
2016-06-23,7.260000228881836,3.160536766052246
2016-06-24,7.010000228881836,3.0517024993896484
2016-06-27,6.989999771118164,3.042996406555176
2016-06-28,7.260000228881836,3.160536766052246
2016-06-29,7.360000133514404,3.2040696144104004
2016-06-30,7.050000190734863,3.06911563873291
2016-07-01,7.599999904632568,3.3085503578186035
2016-07-05,6.989999771118164,3.042996406555176
2016-07-06,7.050000190734863,3.06911563873291
2016-07-07,7.019999980926514,3.0560555458068848
2016-07-08,7.230000019073486,3.1474759578704834
2016-07-11,7.25,3.1561830043792725
2016-07-12,7.460000038146973,3.247602939605713
2016-07-13,7.119999885559082,3.0995888710021973
2016-07-14,7.210000038146973,3.1387696266174316
2016-07-15,7.130000114440918,3.103943347930908
2016-07-18,7.260000228881836,3.160536766052246
2016-07-19,7.079999923706055,3.082176446914673
2016-07-20,7.070000171661377,3.077822685241699
2016-07-21,6.900000095367432,3.003815174102783
2016-07-22,6.690000057220459,2.9123950004577637
2016-07-25,6.699999809265137,2.916748046875
2016-07-26,6.5,2.829680919647217
2016-07-27,6.199999809265137,2.6990807056427
2016-07-28,6.110000133514404,2.659900426864624
2016-07-29,6.170000076293945,2.6860203742980957
2016-08-01,5.829999923706055,2.53800630569458
2016-08-02,5.829999923706055,2.53800630569458
2016-08-03,5.989999771118164,2.6076598167419434
2016-08-04,6.019999980926514,2.620720386505127
2016-08-05,6.269999980926514,2.729553461074829
2016-08-08,6.309999942779541,2.746967315673828
2016-08-09,6.070000171661377,2.642487049102783
2016-08-10,5.840000152587891,2.5423595905303955
2016-08-11,6.309999942779541,2.746967315673828
2016-08-12,6.139999866485596,2.6729607582092285
2016-08-15,6.300000190734863,2.742614269256592
2016-08-16,6.25,2.7208473682403564
2016-08-17,6.269999980926514,2.729553461074829
2016-08-18,6.340000152587891,2.7600274085998535
2016-08-19,6.300000190734863,2.742614269256592
2016-08-22,6.300000190734863,2.742614269256592
2016-08-23,6.389999866485596,2.781794309616089
2016-08-24,6.0,2.612013578414917
2016-08-25,6.019999980926514,2.620720386505127
2016-08-26,5.789999961853027,2.52059268951416
2016-08-29,5.599999904632568,2.4378793239593506
2016-08-30,5.619999885559082,2.4465861320495605
2016-08-31,5.329999923706055,2.320338487625122
2016-09-01,5.090000152587891,2.215858221054077
2016-09-02,5.139999866485596,2.2376248836517334
2016-09-06,5.519999980926514,2.403052806854248
2016-09-07,5.809999942779541,2.5292999744415283
2016-09-08,5.889999866485596,2.5641262531280518
2016-09-09,5.71999979019165,2.490119695663452
2016-09-12,5.699999809265137,2.481412887573242
2016-09-13,5.619999885559082,2.4465861320495605
2016-09-14,5.389999866485596,2.34645938873291
2016-09-15,5.400000095367432,2.3508121967315674
2016-09-16,5.440000057220459,2.368225336074829
2016-09-19,5.559999942779541,2.4204657077789307
2016-09-20,5.360000133514404,2.3333988189697266
2016-09-21,5.510000228881836,2.3986992835998535
2016-09-22,6.070000171661377,2.642487049102783
2016-09-23,5.75,2.5031793117523193
2016-09-26,5.860000133514404,2.5510663986206055
2016-09-27,5.710000038146973,2.485766649246216
2016-09-28,5.989999771118164,2.6076598167419434
2016-09-29,5.840000152587891,2.5423595905303955
2016-09-30,6.0,2.612013578414917
2016-10-03,6.269999980926514,2.729553461074829
2016-10-04,6.070000171661377,2.642487049102783
2016-10-05,6.28000020980835,2.733907699584961
2016-10-06,6.710000038146973,2.9211015701293945
2016-10-07,6.940000057220459,3.0212295055389404
2016-10-10,6.809999942779541,2.9646356105804443
2016-10-11,6.599999904632568,2.8732142448425293
2016-10-12,6.460000038146973,2.812268018722534
2016-10-13,6.46999979019165,2.8166213035583496
2016-10-14,6.449999809265137,2.8079140186309814
2016-10-17,5.989999771118164,2.6076598167419434
2016-10-18,6.179999828338623,2.690373659133911
2016-10-19,6.320000171661377,2.7513210773468018
2016-10-20,6.360000133514404,2.7687344551086426
2016-10-21,6.400000095367432,2.7861475944519043
2016-10-24,6.28000020980835,2.733907699584961
2016-10-25,6.099999904632568,2.6555469036102295
2016-10-26,6.079999923706055,2.6468405723571777
2016-10-27,6.289999961853027,2.738260507583618
2016-10-28,6.03000020980835,2.6250739097595215
2016-10-31,5.630000114440918,2.450939416885376
2016-11-01,6.179999828338623,2.690373659133911
2016-11-02,5.820000171661377,2.533653497695923
2016-11-03,5.840000152587891,2.5423595905303955
2016-11-04,5.820000171661377,2.533653497695923
2016-11-07,5.900000095367432,2.5684797763824463
2016-11-08,5.929999828338623,2.581540107727051
2016-11-09,6.269999980926514,2.729553461074829
2016-11-10,6.559999942779541,2.8558013439178467
2016-11-11,6.96999979019165,3.0342891216278076
2016-11-14,6.71999979019165,2.925454616546631
2016-11-15,6.960000038146973,3.029935836791992
2016-11-16,7.309999942779541,3.1823034286499023
2016-11-17,6.989999771118164,3.042996406555176
2016-11-18,7.159999847412109,3.1170029640197754
2016-11-21,7.349999904632568,3.199716806411743
2016-11-22,7.489999771118164,3.2606630325317383
2016-11-23,7.480000019073486,3.256310224533081
2016-11-25,7.480000019073486,3.256310224533081
2016-11-28,7.300000190734863,3.177949905395508
2016-11-29,6.960000038146973,3.029935836791992
2016-11-30,6.980000019073486,3.038642644882202
2016-12-01,7.210000038146973,3.1387696266174316
2016-12-02,7.300000190734863,3.177949905395508
2016-12-05,7.619999885559082,3.3172574043273926
2016-12-06,8.319999694824219,3.6219916343688965
2016-12-07,8.579999923706055,3.7351794242858887
2016-12-08,9.5,4.135688781738281
2016-12-09,9.420000076293945,4.100861072540283
2016-12-12,8.550000190734863,3.722119092941284
2016-12-13,8.609999656677246,3.748239040374756
2016-12-14,8.149999618530273,3.5479846000671387
2016-12-15,8.529999732971191,3.7134125232696533
2016-12-16,8.640000343322754,3.761300563812256
2016-12-19,8.390000343322754,3.6524651050567627
2016-12-20,8.359999656677246,3.6394052505493164
2016-12-21,9.1899995803833,4.000733375549316
2016-12-22,8.729999542236328,3.8004796504974365
2016-12-23,8.680000305175781,3.778712749481201
2016-12-27,8.109999656677246,3.530571460723877
2016-12-28,8.5,3.7003531455993652
2016-12-29,8.430000305175781,3.6698787212371826
2016-12-30,8.210000038146973,3.5741055011749268
2017-01-03,8.869999885559082,3.86142635345459
2017-01-04,9.369999885559082,4.079093933105469
2017-01-05,9.369999885559082,4.079093933105469
2017-01-06,9.180000305175781,3.996381998062134
2017-01-09,9.210000038146973,4.009439945220947
2017-01-10,9.25,4.026854038238525
2017-01-11,9.329999923706055,4.061680316925049
2017-01-12,9.3100004196167,4.052975177764893
2017-01-13,9.34000015258789,4.066033840179443
2017-01-17,9.5,4.135688781738281
2017-01-18,10.5,4.571023941040039
2017-01-19,10.880000114440918,4.736450672149658
2017-01-20,10.819999694824219,4.710330486297607
2017-01-23,11.079999923706055,4.823518753051758
2017-01-24,10.789999961853027,4.697271823883057
2017-01-25,11.979999542236328,5.215319633483887
2017-01-26,11.609999656677246,5.054245948791504
2017-01-27,11.199999809265137,4.875758647918701
2017-01-30,12.380000114440918,5.389453887939453
2017-01-31,11.3100004196167,4.923645496368408
2017-02-01,11.970000267028809,5.210966110229492
2017-02-02,10.970000267028809,4.775631904602051
2017-02-03,10.800000190734863,4.701624393463135
2017-02-06,10.6899995803833,4.653738021850586
2017-02-07,10.329999923706055,4.497016429901123
2017-02-08,10.09000015258789,4.392536640167236
2017-02-09,9.789999961853027,4.261936187744141
2017-02-10,9.770000457763672,4.25322961807251
2017-02-13,9.760000228881836,4.248875617980957
2017-02-14,9.779999732971191,4.257582664489746
2017-02-15,9.670000076293945,4.209695339202881
2017-02-16,9.359999656677246,4.074740886688232
2017-02-17,9.359999656677246,4.074740886688232
2017-02-21,10.0600004196167,4.379476070404053
2017-02-22,9.789999961853027,4.261936187744141
